filename,population_size,elite_size,mutatants_size,crossover_probability,restart_generations,restart_strategy,seed,objective_value,time_elapsed,stop_time
experiment/44-ash608GPIA.txt,100,0.2,0.10,0.70,50,1,3,3979,100.28,99.909
experiment/44-ash608GPIA.txt,100,0.2,0.10,0.70,50,1,4,3919,100.08,99.909
experiment/44-ash608GPIA.txt,100,0.2,0.10,0.70,50,1,5,3984,99.964,99.909
experiment/44-ash608GPIA.txt,100,0.2,0.10,0.70,50,1,6,3956,100.098,99.909
experiment/44-ash608GPIA.txt,100,0.2,0.10,0.70,50,1,7,3996,100.028,99.909
experiment/44-ash608GPIA.txt,100,0.2,0.10,0.70,50,1,8,3997,100.08,99.909
experiment/44-ash608GPIA.txt,100,0.2,0.10,0.70,50,1,9,4001,99.9756,99.909
experiment/45-3-Insertions_5.txt,100,0.2,0.10,0.70,50,1,0,1406,126.217,125.741
experiment/45-3-Insertions_5.txt,100,0.2,0.10,0.70,50,1,1,1406,126.274,125.741
experiment/45-3-Insertions_5.txt,100,0.2,0.10,0.70,50,1,2,1406,126.208,125.741
experiment/45-3-Insertions_5.txt,100,0.2,0.10,0.70,50,1,3,1406,126.125,125.741
experiment/45-3-Insertions_5.txt,100,0.2,0.10,0.70,50,1,4,1406,126.09,125.741
experiment/45-3-Insertions_5.txt,100,0.2,0.10,0.70,50,1,5,1406,125.951,125.741
experiment/45-3-Insertions_5.txt,100,0.2,0.10,0.70,50,1,6,1406,125.97,125.741
experiment/45-3-Insertions_5.txt,100,0.2,0.10,0.70,50,1,7,1406,126.209,125.741
experiment/45-3-Insertions_5.txt,100,0.2,0.10,0.70,50,1,8,1406,126.195,125.741
experiment/45-3-Insertions_5.txt,100,0.2,0.10,0.70,50,1,9,1406,126.155,125.741
experiment/46-abb313GPIA.txt,100,0.2,0.10,0.70,50,1,0,4774,644.319,641.406
experiment/46-abb313GPIA.txt,100,0.2,0.10,0.70,50,1,1,4876,643.408,641.406
experiment/46-abb313GPIA.txt,100,0.2,0.10,0.70,50,1,2,4860,643.659,641.406
experiment/46-abb313GPIA.txt,100,0.2,0.10,0.70,50,1,3,4856,643.074,641.406
experiment/46-abb313GPIA.txt,100,0.2,0.10,0.70,50,1,4,5002,643.825,641.406
experiment/46-abb313GPIA.txt,100,0.2,0.10,0.70,50,1,5,4936,642.762,641.406
experiment/46-abb313GPIA.txt,100,0.2,0.10,0.70,50,1,6,4894,643.67,641.406
experiment/46-abb313GPIA.txt,100,0.2,0.10,0.70,50,1,7,4812,643.039,641.406
experiment/46-abb313GPIA.txt,100,0.2,0.10,0.70,50,1,8,4766,642.135,641.406
